ANT201, 12.75, 18.95, 90.00, MLA-DN038, DN038
ANT202, 25.50, 12.70, 180.00, MLA-DN038-MIRROR, DN038_MIRROR
C101, 62.50, 22.50, 180.00, 1uF, C0402
C102, 55.55, 31.00, 270.00, 1uF, C0402
C103, 50.00, 23.30, 270.00, 100nF, C0402
C104, 55.85, 19.00, 90.00, 100nF, C0402
C105, 62.50, 26.50, 180.00, 100nF, C0402
C106, 54.10, 31.00, 270.00, 100nF, C0402
C107, 50.00, 26.70, 270.00, 100nF, C0402
C108, 54.10, 19.00, 90.00, 100nF, C0402
C109, 61.00, 23.00, 270.00, 100nF, C0402
C110, 56.55, 31.00, 270.00, 100nF, C0402
C201, 39.50, 16.80, 0.00, 1uF, C0402
C202, 39.60, 28.50, 0.00, 1uF, C0402
C203, 44.15, 17.70, 90.00, 470nF, C0603
C204, 44.25, 28.23, 90.00, 470nF, C0603
C205, 41.00, 17.30, 270.00, 10pF, C0402
C206, 45.40, 21.65, 180.00, 100nF, C0402
C207, 41.10, 28.00, 270.00, 10pF, C0402
C208, 45.40, 32.15, 180.00, 100nF, C0402
C209, 22.50, 33.50, 90.00, 100nF, C0402
C210, 37.50, 17.75, 0.00, 47pF, C0402
C211, 37.50, 16.80, 0.00, 47nF, C0402
C212, 36.50, 31.75, 0.00, 3.6pF, C0402
C213, 37.00, 23.25, 270.00, 3.6pF, C0402
C214, 36.50, 30.75, 180.00, 3.6pF, C0402
C215, 36.00, 21.25, 90.00, 3.6pF, C0402
C216, 36.50, 29.75, 180.00, DNP, C0402
C217, 36.50, 24.75, 180.00, DNP, C0402
C218, 36.60, 18.75, 0.00, 3.3pF, C0402
C219, 35.10, 19.25, 90.00, 5.6pF, C0402
C220, 33.60, 19.75, 0.00, 39pF, C0402
C221, 32.60, 22.75, 0.00, 2.2pF, C0402
C222, 50.50, 15.00, 270.00, 100nF, C0402
C223, 30.30, 27.85, 180.00, 56pF, C0402
C224, 32.50, 29.50, 180.00, 56pF, C0402
C225, 25.00, 21.95, 0.00, 10uF, C0603
C226, 25.40, 23.10, 180.00, 10nF, C0402
C227, 32.75, 32.00, 90.00, 56pF, C0402
C228, 30.25, 33.50, 0.00, 56pF, C0402
C229, 31.75, 32.00, 90.00, 56pF, C0402
C230, 27.40, 23.10, 180.00, 1nF, C0402
C231, 28.40, 24.10, 0.00, 100pF, C0402
C232, 25.40, 24.10, 180.00, 100pF, C0402
C233, 24.50, 30.25, 90.00, 3.3pF, C0402
C234, 24.40, 27.25, 270.00, 1.3pF, C0402
C235, 23.00, 30.75, 180.00, 1.5pF, C0402
